City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,San Carlos del Zulia,VE,81.0,scattered clouds,9.0,-71.9135,Hotel El Manantial
593,Trairi,BR,79.09,few clouds,-3.2778,-39.2689,janelas do mar
597,Jaciara,BR,75.25,broken clouds,-15.9653,-54.9683,Taba Hotel
601,Aden,YE,86.76,broken clouds,12.7794,45.0367,Sama Emirate Hotel
602,Tura,IN,76.03,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
615,Annau,TM,83.7,broken clouds,37.8876,58.516,Buzmein Sokak
619,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
621,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
622,Coahuayana Viejo,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
624,Auki,SB,84.29,broken clouds,-8.7676,160.7034,Auki Motel
625,Māngrol,IN,85.41,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
626,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
628,Pittsburg,US,86.04,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
631,Lorengau,PG,84.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
632,Stann Creek Town,BZ,84.16,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
637,Popondetta,PG,86.86,overcast clouds,-8.7537,148.2534,Timos Transit House
641,Makakilo City,US,81.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
646,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
647,Niquelândia,BR,75.43,broken clouds,-14.4739,-48.4597,Hotel Suinã
654,Hatillo,PR,84.38,overcast clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
661,Katobu,ID,77.23,moderate rain,-4.9408,122.5276,La Ode Husein
662,Muroto-misakicho,JP,75.24,overcast clouds,33.2833,134.15,Oota Ryokan
664,Meulaboh,ID,76.71,broken clouds,4.1363,96.1285,Kost Pria
665,Pangkalanbuun,ID,77.63,light rain,-2.6833,111.6167,Grand Kecubung Hotel
668,Santa Marta,CO,82.98,scattered clouds,11.2408,-74.199,Casa de Isabella
669,Gravelbourg,CA,84.47,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
670,Solapur,IN,75.31,overcast clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
672,Sibolga,ID,77.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
674,Makassar,ID,75.25,light rain,-5.14,119.4221,Hotel Horison Ultima Makassar
677,Kota Belud,MY,78.66,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
678,Ibrā’,OM,87.35,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
681,Pandan Niog,PH,82.62,overcast clouds,6.2282,120.5631,
683,Nāgaur,IN,89.08,clear sky,27.2,73.7333,Ranvas Nagaur
684,Jatiroto,ID,75.9,overcast clouds,-7.8833,111.1167,Mushola Al Huda
688,Maragogi,BR,75.09,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
689,Marsh Harbour,BS,82.53,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
690,Matara,LK,78.39,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
